Simplified;English Translation;Pinyin;Meaning
台;taiwan;tái;short for Taiwan tái
得;get;děi;should be, need děi
应;should;yīng;should, ought to
应该;should;yīnggāi;should, ought to
方面;aspect;fāngmiàn;side, aspect, sector, part, light, facet, behalf, way, respect, direction, bearing, field, phase, sphere, angle, hand
旁;side;páng;side, by the side of, other páng
小姐;miss;xiǎojiě;Signorina, Senorita, senorita, signorina, young_lady, damosel, Dona, mum, young lady, damoiselle, missy, tootsy, demoiselle, damsel, Miss, Fraulein, miss, sheila, sister, toots, senhorita, damozel, Ladyship, ladyship, Mademoiselle, mademoiselle
政府;government;zhèngfǔ;sirkar, state, country, nation, governmental, body politic, government, administration, civil order, polity, commonwealth, regime, res publica, land
国家;countries;guójiā;sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica
坐;sit;zuò;sit, take seat zuò
天;day;tiān;sky, heaven tiān
小;small;xiǎo;"small, little, petty, minor;young xiǎo"
笑;smile;xiào;smile, laugh xiào
那么;so;nàmo;so
这样;such;zhèyàng;so, such, like this, this way
这样子;this way;zhèyàngzi;so, such, like this, this way
这么;so;zhèmo;so, such, this way, like this
所谓;so-called;suǒwèi;so-called
软体;soft;ruǎntǐ;software
解决;solution;jiějué;solve, resolve, settle, dispose of, finish off
身体;body;shēntǐ;soma, system, physical structure, body, health, carcase, corpus, frame, person, somatic, organic structure, personage
说;said;shuō;speak, talk, explain, scold shuō
故事;story;gùshì;spiel, recital, relation, scam, rede, plot, yarn, narration, story, fiction, tale, history, legend, narrative
医院;hospital;yīyuàn;spital, hospital, infirmary, hospice
运动;movement;yùndòng;sports, athletics, exercise, movement, campaign
小组;group;xiǎozǔ;squad, section, unit, group
阶段;phase;jiēduàn;staged, period, phase angle, stage, gradation, level, peg, grade, remove, phase, leg, step
态度;attitude;tàidù;stance, treatment, demeanor, dealing, deportment, pose, behavior, manner, demeanour, way, bearing, attitude, air, behaviour, front, mien, conduct, mental attitude, approach, posture, address, position, bedside_manner, movement, gesture, comportment, presence, sort
标准;standard;biāozhǔn;standard, criterion
政策;policy;zhèngcè;statism, tack, line, policy, statecraft
逐渐;gradually;zhújiàn;step_by_step, by degrees, gradually
还是;still;háishì;still, nevertheless
仍然;still;réngrán;still, yet
还;still;hái;still, yet, also, too, as well, besides
尚;still;shàng;still, yet, fairly, rather shàng
工具;tools;gōngjù;stock-in-trade, instrumentality, instrument, ministry, hand_tool, escalator, creature, utensil, material, gear, pawn, lobster-joint, cat's-paw, kit, apparatus, tool, appurtenances, paraphernalia, means, wood, tackle, implement, medium, lever, outfit
人员;personnel;rényuán;strength, personnel, force, staff
加强;strengthen;jiāqiáng;strengthen, augment, reinforce
强;strong;qiáng;strong, powerful, vigorous, better, slightly more than, plus qiáng
学习;learn;xuéxí;study, learn, emulate
学;learn;xué;study, learn, imitate, mimic xué
研究;research;yánjiù;study, research
资讯;information;zīxùn;stuff, message, information, news, info
内容;content;nèiróng;subject_matter, content, cognitive content, internal, contents, mental object, meat, substance, matter, lining
成功;success;chénggōng;succeed
系列;series;xìliè;succession, set, spectrum, course, train, series
大家;everyone;dàjiā;sundry, great master, rich and influential family, pontiff, all of us, everyone, authority, master, distinguished family
供;for;gōng;supply, feed, be for (the use/convenience of)
支持;support;zhīchí;"sustain, hold out, bear;support, back, stand by"
充满;full;chōngmǎn;swarm, be brimming, inhabit, be brimming with, teem, crawl, fill, lard, pullulate with, brim, be permeated with, bathe, be filled with, permeated with, abound in, implement, exuberate, fill up, flow, abound, burst, perfuse, foam, bristle, crackle, inform, pervade, be imbued with, simmer, glut, teem in, permeate, congest, be full of, reek, charge, suffuse, pullulate, overfill, swell
会议;meeting;huìyì;synod, moot, conference, board, convocation, soviet, congress, talks, indaba, negotiation, junta, group discussion, convention, meeting place, session, council, rendezvous, colloquy, coming together, powwow, seance, meeting, forum, consultation, roll-up, get-together, assembly
台湾;taiwan;táiwān;Taiwan
台湾;taiwan;táiwān;Taiwan
形成;formation;xíngchéng;take shape, form
拿;take;ná;take, hold, seize, capture ná
人才;talent;réncái;talent, capable person, a talented person, qualified personnel, a person of ability
谈;talk about;tán;talk, chat tán
高;high;gāo;tall, high gāo
茶;tea;chá;tea chá
教学;teaching;jiāoxué;teach and study
教;teach;jiāo;teach jiāo
科技;technology;kējì;technology, tech, engineering science, applied science, science and technology, technological, engineering
知道;know;zhīdào;tell, have, ken, understand, infer, wis, learn, cognize, gather, know, be aware of, wise up, savvy, mind, realize
知;know;zhī;tell, notify, inform, be expert in, know, sense, be aware of, administration, notification, administer, be in charge of, realize zhī
告诉;tell;gàosù;tell, preach, notify, impart, inform, represent, apprize, send word, share, advise, give notice, apprise, assure, let know
主义;doctrine;zhǔyì;tenet, principle, hang, system, ticket, creed, philosophy, school of thought, evangel, ism, gospel, masonry, maxim, doctrine, -ism
简单;simple;jiǎndān;terse, casual, commonplace, simple, oversimplified, ordinary, uncomplicated
谢谢;thanks;xièxiè;thank
所;all;suǒ;that which
大众;mass;dàzhòng;the broad masses, roughscuff, the public, herd, concourse, commonality, riffraff, masses, commonness, the masses, throng, multitude, commonage, commonalty, plebeian, plebs, horde, the people/masses, community, the people, million, mass, public
地;ground;dì;the earth, land, soil, fields, ground, place, position, background, distance dì
愈;more;yū;the more...
角色;role;jiǎosè;theatrical role, character, persona, part, function, office, fictional character, actor, fictitious character, personage, role
才;only;cái;then and only then, just now, only (before a number) cái
就;just;jiù;then, at once, right away, an indicator strengthening speaker's evaluation
则;then;zé;then, in that case
那;that;nà;then, in that case
有;have;yǒu;there is/are
然后;then;ránhòu;therewith, and so, and_then, and then, thereupon, after that, so, then, with that
他们;they;tāmen;they
它;it;tā;they (neologism for {1ta1}[3] [4]), [4]), ), this, that, it
东西;something;dōngxī;thing, creature
动物;animal;dòngwù;thing, critter, crittur, zoic, anthropomorphism, animal, deer, animate being, beast, creature, burrow, sire, worker, fauna, brute
考虑;consider;kǎolù;think over, consider
看;look;kàn;think, consider kàn
想;want to;xiǎng;think, suppose, reckon, consider, want to, would like to, feel like (doing sth.) xiǎng
这里;here;zhèlǐ;this place, there, here
此;this;cǐ;this, det.: this, here
如此;so;rúcǐ;thus, like this, such
来;come;lái;time (since) lái
组织;organization;zǔzhī;tissue, nerve, weave, organization, organized system
会;will;huì;to be able, can, will, to meet huì
叫;called;jiào;to be called jiào
并;and;bìng;to be side by side, simultaneously, and bìng
讨论;discuss;tǎolùn;to discuss, to take something up with someone, to talk about
去;to go to;qù;to go, to leave, in order to qù
及;and;jí;to reach, to catch up, and jí
站;stand;zhàn;to stand zhàn
到底;in the end;dàodǐ;to the end, at last, after all
向;to;xiàng;to, towards xiàng
至;to;zhì;to, until, till zhì
和;and;hé;together) with
共;total;gòng;totally, together, in all, in company, altogether gòng
训练;training;xùnliàn;training
民族;national;mínzú;tribe, citizenry, ethnos, ethnic minority/group, race, nationality, group, Volk, nation, folk, people, ethnic group, ethnographer, family, ethnic minority
真正;real;zhēnzhèng;true, indeed, certainty
电视;tv;diànshì;TV, box, iconoscope, video, television set, teevee, orthicon, huckster, TV set, radiovision, television, telecasting, airwave, telly
不断;constantly;búduàn;unceasingly, continuously
新闻;news;xīnwén;unco, leak, intelligence, newsworthiness, witting, journalistic, information, journalism, courant, news
过程;process;guòchéng;unconscious process, mechanism, process, act, round, course
下;down;xià;under (condition/fact etc.) xià
之下;under;zhīxià;under the condition of, under, beneath, below
强调;emphasize;qiángdiào;underscore, spotlight, place emphasis on, point_up, highlight, point, point up, enforce, emphasise, urge, underline, overstress, give emphasis to, play up, keynote, insist, punctuate, accent, betone, foreground, emphasize, emphatic, stress, set off, overemphasize, accentuate, bring out
了解;understand;liǎojiě;understand, comprehend, find out, acquaint oneself with
大学;university;dàxué;university, college
特别;special;tèbié;unusual, specially
到;to;dào;up until dào
使用;use;shǐyòng;use, employ, apply
用;with;yòng;use, employ, apply, eat, drink, spend yòng
利用;use;lìyòng;use, utilize, take advantage of, exploit
以;to;yǐ;using, taking, from a point on, because of
运用;use;yùnyòng;utilize, wield, apply
价值;value;jiàzhí;value, worth
车;car;chē;vehicle chē
母亲;mother;mǔqīn;venter, materfamilias, mother, mither, sultana, maternal, female parent, mater
十分;very;shífēn;very, fully, utterly, extremely
好;good;hǎo;very, quite, good to, easy to hǎo
透过;through;tòuguò;via
目的;purpose;mùdì;view, pretence, objective, goal, purport, intention, bourn, object, motive, motivation, meaning, aim, end point, hent, target, scope, sense of purpose, errand, purposefulness, sake, function, end, purpose, quaesitum, intent
看到;see;kàndào;view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of
儿子;son;érzi;viscount, man-child, boy, male offspring, son
发表;publish;fābiǎo;voice, enounce, enunciate, publish, free, sound, announce, pronounce, deliver, circulation, put_out, release, issue, vend, circularize, give, give_out, denote, present, circulate, publicize, blazon, promulgate, mouth
声音;sound;shēngyīn;voice, vocal, language, huskiness, vox, vocalization, audio, noise, sonic, tone, sound, phone, audio frequency
书;book;shū;volume, document, style of calligraphy, book, script, letter shū
等;etc.;děng;wait děng
要;to;yào;want, need, must, should yào
要;to;yào;want/wish (to), ask (for) yào
战争;war;zhànzhēng;war, warfare
感情;feelings;gǎnqíng;warmheartedness, reticence, sensation, affection, susceptibility, feeling, feelings, heart, affective, withers, expression, tenderness, emotion, sentiment, fondness, soul, affectionateness, soulfulness, passion
水;water;shuǐ;water, H2O, liquid, bubble, a general term for rivers, lakes, seas, etc., Shiu, waters, aqueous, Aquarius, river, Surname, blister, drink, eau, aqua
般;like;bān;way, kind, variety, sort
当;when;dāng;when, while dāng
是否;whether;shìfǒu;whether or not, is it so or not
谁;who;shéi;who, someone, anyone
为什么;why;wèishéme;why, why?, how come, why is it that?, whereat, whereto
愿意;willing;yuànyì;will, be willing, please, wish, like, care
愿;willingness;yuàn;will, wish, may, desire
用;with;yòng;with yòng
跟;with;gēn;with, to, from gēn
均;all;jūn;without exception, all
不会;will not;búhuì;won't
树;tree;shù;wood, Ruptiliocarpon caracolito, tree, arbor, Surname, caracolito shù
话;words;huà;words, thing, language, tongue, talk, speech, spoken_language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word
工作;work;gōngzuò;work
工作;work;gōngzuò;work, job
人们;people;rénmen;workforce, hands, work force, folk, people, they, the people, men, manpower, common people
作品;work;zuòpǐn;writing, musical composition, whole kit and caboodle, works (of literature, artwork, kit and caboodle, product, whole works, creation, full treatment, kit and boodle, whole kit and boodle, works (of literature/art), composition, thing, piece of music, workpiece, output, art), written material, opus, whole shebang, whole caboodle, production, whole kit, piece, workmanship, wo
网路;network;wǎnglù;WWW, net, network, Internet, meshwork, web, world wide web, mesh, reticulation
岁;age;suì;year (for crops), m.[standard], , year of age, year (of age), year, annum, year for crops suì
年;years;nián;year nián
仍;still;réng;yet, anyway, still
你;you;nǐ;you nǐ
您;you;nín;you nín
妳;you;nǐ;you(female) nǐ
你们;you;nǐmen;you, you (plural), you-all
